2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2629 confidence=0.263 regime=high_vol rsi=23.71
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2681 confidence=0.268 regime=high_vol rsi=23.19
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.1248 confidence=0.125 regime=high_vol rsi=37.52
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2158 confidence=0.216 regime=high_vol rsi=28.42
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.1588 confidence=0.159 regime=high_vol rsi=34.12
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.1642 confidence=0.164 regime=high_vol rsi=33.58
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.1205 confidence=0.121 regime=high_vol rsi=37.95
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.1874 confidence=0.187 regime=high_vol rsi=31.26
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.1576 confidence=0.158 regime=high_vol rsi=34.24
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2054 confidence=0.205 regime=high_vol rsi=29.46
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2988 confidence=0.299 regime=high_vol rsi=20.12
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.3139 confidence=0.314 regime=high_vol rsi=18.61
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.3604 confidence=0.360 regime=high_vol rsi=13.96
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2616 confidence=0.262 regime=high_vol rsi=23.84
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.3495 confidence=0.350 regime=high_vol rsi=15.05
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.3607 confidence=0.361 regime=high_vol rsi=13.93
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.3755 confidence=0.376 regime=high_vol rsi=12.45
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.3636 confidence=0.364 regime=high_vol rsi=13.64
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2926 confidence=0.293 regime=high_vol rsi=20.74
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2700 confidence=0.270 regime=high_vol rsi=23.00
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2365 confidence=0.237 regime=high_vol rsi=26.35
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2596 confidence=0.260 regime=high_vol rsi=24.04
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2624 confidence=0.262 regime=high_vol rsi=23.76
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.3596 confidence=0.360 regime=high_vol rsi=14.04
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.3281 confidence=0.328 regime=high_vol rsi=17.19
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2852 confidence=0.285 regime=high_vol rsi=21.48
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.3634 confidence=0.363 regime=high_vol rsi=13.66
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.3619 confidence=0.362 regime=high_vol rsi=13.81
